dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped
mimic-11site,CSRU-meta,1,2031,2031,5469,36,2.692762186115214,83,1.6111111111111112,0.6578947368421053,17.98101988900418,0.9443858020194102,0.016951052224931817,1
mimic-11site,CSRU-meta,1,2031,2031,2489,36,1.225504677498769,83,1.6111111111111112,0.7631578947368421,60.62733266133259,0.9835057892850729,0.025567342328516707,1
mimic-11site,CSRU-meta,1,2031,2031,2489,36,1.225504677498769,83,1.6111111111111112,0.7631578947368421,15.28793381302409,0.9345889371166638,-0.02076027231188876,0
mimic-11site,CSRU-meta,1,2031,2031,2276,36,1.120630231413097,83,1.6111111111111112,0.6052631578947368,55.77356999499012,0.9820703605652314,0.007825370804433462,1
mimic-11site,CSRU-meta,1,2031,2031,2276,36,1.120630231413097,83,1.6111111111111112,0.6052631578947368,27.149067167986132,0.9631663219287627,0.0002906113846433134,1
mimic-11site,CSRU-meta,1,2031,1527,1527,36,0.7518463810930576,83,1.6111111111111112,0.7368421052631579,41.13682684863382,0.9747868650959151,0.02275730977161583,1
mimic-11site,CSRU-meta,1,2031,1527,1527,36,0.7518463810930576,83,1.6111111111111112,0.7368421052631579,28.08508343535005,0.9639209501790662,-0.004934691955393838,0
mimic-11site,MICU-care,1,5985,2722,2722,30,0.45480367585630743,1400,32.666666666666664,0.78125,79.06134495104348,0.9873515938715788,-0.014067864323491441,0
mimic-11site,MICU-care,1,5985,2722,2722,30,0.45480367585630743,1400,32.666666666666664,0.78125,72.44539297688469,0.9861964997509356,0.012164531203001261,1
mimic-11site,MICU-care,4,5985,1527,8769,30,1.4651629072681704,1400,32.666666666666664,0.575,502.43403636961887,0.9920387559152991,-0.01901349616304715,0
mimic-11site,MICU-care,4,5985,1527,8769,30,1.4651629072681704,1400,32.666666666666664,0.575,420.0513058712038,0.9904773537325308,-0.01570628839591459,0
mimic-11site,MICU-care,1,5985,1535,1535,30,0.25647451963241436,1400,32.666666666666664,0.78125,126.2827093122088,0.9920812595370622,-0.02749012735800982,0
mimic-11site,MICU-care,1,5985,1535,1535,30,0.25647451963241436,1400,32.666666666666664,0.78125,88.98054940745733,0.9887615888341976,-0.006234467820179557,0
mimic-11site,MICU-care,4,5985,1535,11373,30,1.900250626566416,1400,32.666666666666664,0.7352941176470589,421.11535595502625,0.9923521081067659,-0.027324316567575113,0
mimic-11site,MICU-care,4,5985,1535,11373,30,1.900250626566416,1400,32.666666666666664,0.7352941176470589,359.4564402450799,0.9902458739919878,-0.006715817042257655,0
mimic-11site,MICU-care,4,5985,1527,7218,30,1.2060150375939849,1400,32.666666666666664,0.7352941176470589,619.2418122035401,0.9935377562663796,-0.04077838243251364,0
mimic-11site,MICU-care,4,5985,1527,7218,30,1.2060150375939849,1400,32.666666666666664,0.7352941176470589,551.9726755908017,0.9926368431549354,-0.01402588563590551,0
