dataset,target,seed,n_partners,n_target,epv_target,kind,benefit,helped,slope_last,climb_half,level
mimic4-9site,Medical Intensive Care Unit (MICU),0,4,9732,46.14705882352941,lr,-0.05274931087729756,0,0.006287215177477318,-0.006646528870971702,0.4320673557812942
mimic4-9site,Medical Intensive Care Unit (MICU),0,4,9732,46.14705882352941,gb,-0.022694470007439682,0,0.021852732884865597,0.04984340762788305,0.48693335904485563
mimic4-9site,Medical Intensive Care Unit (MICU),1,4,9732,46.14705882352941,lr,-0.04471167262590636,0,0.010473781093819311,0.026912975051396983,0.43717798879798603
mimic4-9site,Medical Intensive Care Unit (MICU),1,4,9732,46.14705882352941,gb,-0.029924032677751344,0,-0.007304416917420627,0.02248117450640381,0.4647683754060153
mimic4-9site,Medical Intensive Care Unit (MICU),0,3,9732,46.14705882352941,lr,-0.005617511881816806,0,0.006287215177477318,-0.006646528870971702,0.4320673557812942
mimic4-9site,Medical Intensive Care Unit (MICU),0,3,9732,46.14705882352941,gb,0.007287748448997267,1,0.021852732884865597,0.04984340762788305,0.48693335904485563
mimic4-9site,Medical Intensive Care Unit (MICU),1,3,9732,46.14705882352941,lr,0.005816852258956506,1,0.010473781093819311,0.026912975051396983,0.43717798879798603
mimic4-9site,Medical Intensive Care Unit (MICU),1,3,9732,46.14705882352941,gb,-0.0036646415981881897,0,-0.007304416917420627,0.02248117450640381,0.4647683754060153
mimic4-9site,Medical Intensive Care Unit (MICU),0,3,9732,46.14705882352941,lr,-0.0586078812851461,0,0.006287215177477318,-0.006646528870971702,0.4320673557812942
mimic4-9site,Medical Intensive Care Unit (MICU),0,3,9732,46.14705882352941,gb,0.0031647865496917116,1,0.021852732884865597,0.04984340762788305,0.48693335904485563
mimic4-9site,Medical Intensive Care Unit (MICU),1,3,9732,46.14705882352941,lr,-0.04117731280709208,0,0.010473781093819311,0.026912975051396983,0.43717798879798603
mimic4-9site,Medical Intensive Care Unit (MICU),1,3,9732,46.14705882352941,gb,-0.008320930051490316,0,-0.007304416917420627,0.02248117450640381,0.4647683754060153
mimic4-9site,Medical Intensive Care Unit (MICU),0,3,9732,46.14705882352941,lr,-0.04939695937750338,0,0.006287215177477318,-0.006646528870971702,0.4320673557812942
mimic4-9site,Medical Intensive Care Unit (MICU),0,3,9732,46.14705882352941,gb,0.004108749800930178,1,0.021852732884865597,0.04984340762788305,0.48693335904485563
mimic4-9site,Medical Intensive Care Unit (MICU),1,3,9732,46.14705882352941,lr,-0.07935176594497412,0,0.010473781093819311,0.026912975051396983,0.43717798879798603
mimic4-9site,Medical Intensive Care Unit (MICU),1,3,9732,46.14705882352941,gb,0.007587050816078356,1,-0.007304416917420627,0.02248117450640381,0.4647683754060153
mimic4-9site,Medical Intensive Care Unit (MICU),0,2,9732,46.14705882352941,lr,-0.06781667979155742,0,0.006287215177477318,-0.006646528870971702,0.4320673557812942
mimic4-9site,Medical Intensive Care Unit (MICU),0,2,9732,46.14705882352941,gb,-0.018587221212040705,0,0.021852732884865597,0.04984340762788305,0.48693335904485563
mimic4-9site,Medical Intensive Care Unit (MICU),1,2,9732,46.14705882352941,lr,-0.043215202674590725,0,0.010473781093819311,0.026912975051396983,0.43717798879798603
mimic4-9site,Medical Intensive Care Unit (MICU),1,2,9732,46.14705882352941,gb,-0.010426076724106503,0,-0.007304416917420627,0.02248117450640381,0.4647683754060153
mimic4-9site,Medical Intensive Care Unit (MICU),0,4,9732,46.14705882352941,lr,-0.06393055929038283,0,0.006287215177477318,-0.006646528870971702,0.4320673557812942
mimic4-9site,Medical Intensive Care Unit (MICU),0,4,9732,46.14705882352941,gb,-0.002122064275889457,0,0.021852732884865597,0.04984340762788305,0.48693335904485563
mimic4-9site,Medical Intensive Care Unit (MICU),1,4,9732,46.14705882352941,lr,-0.0369462748334185,0,0.010473781093819311,0.026912975051396983,0.43717798879798603
mimic4-9site,Medical Intensive Care Unit (MICU),1,4,9732,46.14705882352941,gb,-0.00259326198110138,0,-0.007304416917420627,0.02248117450640381,0.4647683754060153
mimic4-9site,Medical Intensive Care Unit (MICU),0,2,9732,46.14705882352941,lr,-0.010435940569057722,0,0.006287215177477318,-0.006646528870971702,0.4320673557812942
mimic4-9site,Medical Intensive Care Unit (MICU),0,2,9732,46.14705882352941,gb,0.0022084380824423655,1,0.021852732884865597,0.04984340762788305,0.48693335904485563
mimic4-9site,Medical Intensive Care Unit (MICU),1,2,9732,46.14705882352941,lr,0.0032893756533661223,1,0.010473781093819311,0.026912975051396983,0.43717798879798603
mimic4-9site,Medical Intensive Care Unit (MICU),1,2,9732,46.14705882352941,gb,-0.007666860245360674,0,-0.007304416917420627,0.02248117450640381,0.4647683754060153
