target,target_db,seed,n_partners,n_cross,frac_cross,epv_target,n_target,benefit,helped
m3:SICU-care,0,1,2,1,0.5,11.448275862068966,2489,-0.06534184470806997,0
m3:SICU-care,0,0,1,0,0.0,11.448275862068966,2489,-0.02614826648476931,0
m3:SICU-care,0,1,1,0,0.0,11.448275862068966,2489,-0.04968613556003082,0
m3:SICU-care,0,0,4,1,0.25,11.448275862068966,2489,-0.027977749387504913,0
m3:SICU-care,0,1,4,1,0.25,11.448275862068966,2489,-0.00828681648152857,0
m3:SICU-care,0,0,2,0,0.0,11.448275862068966,2489,-0.016618154449249467,0
m3:SICU-care,0,1,2,0,0.0,11.448275862068966,2489,-0.027023219447932123,0
m3:SICU-care,0,0,4,2,0.5,11.448275862068966,2489,-0.02747544030657567,0
m3:SICU-care,0,1,4,2,0.5,11.448275862068966,2489,-0.032119751098322546,0
m3:SICU-care,0,0,4,3,0.75,11.448275862068966,2489,-0.07815821499077902,0
m3:SICU-care,0,1,4,3,0.75,11.448275862068966,2489,-0.05178168826913826,0
m3:SICU-care,0,0,2,1,0.5,11.448275862068966,2489,-0.02380768683357193,0
m3:SICU-care,0,1,2,1,0.5,11.448275862068966,2489,-0.002888435683062629,0
m3:SICU-care,0,0,2,1,0.5,11.448275862068966,2489,0.0015480485299347868,1
m3:SICU-care,0,1,2,1,0.5,11.448275862068966,2489,-0.008887129408135908,0
m3:SICU-care,0,0,3,1,0.3333333333333333,11.448275862068966,2489,0.011824509240692838,1
m3:SICU-care,0,1,3,1,0.3333333333333333,11.448275862068966,2489,0.036618512395503344,1
m3:SICU-care,0,0,3,2,0.6666666666666666,11.448275862068966,2489,-0.04412992477386901,0
m3:SICU-care,0,1,3,2,0.6666666666666666,11.448275862068966,2489,0.008439222800198598,1
m3:SICU-care,0,0,2,2,1.0,11.448275862068966,2489,-0.06066302875720753,0
