dataset,target,seed,epv_target,k_partners,bias2,variance,auprc,n_draws
mimic-11site,CSRU-care,0,4.14,1,0.31291077278519075,0.7752783046135918,0.28454681849413993,24
mimic-11site,CSRU-care,0,4.14,2,0.5431502201515088,0.4764816936497723,0.298996732048803,24
mimic-11site,CSRU-care,0,4.14,3,0.6733132370650028,0.3753084168196666,0.29951224520830927,24
mimic-11site,CSRU-care,0,4.14,4,0.73983954348211,0.29231285559176684,0.3045009471504478,24
mimic-11site,CSRU-care,1,4.14,0,0.10582382739950223,1.1292926987415666,0.30940839496784406,24
mimic-11site,CSRU-care,1,4.14,1,0.44600183274240646,0.9095256422556054,0.3227325865281096,24
mimic-11site,CSRU-care,1,4.14,2,0.8602973050626489,0.6320632430180445,0.3205141003892941,24
mimic-11site,CSRU-care,1,4.14,3,1.1063043194363682,0.4062593778144099,0.3262953063756849,24
mimic-11site,CSRU-care,1,4.14,4,1.2490840372531242,0.3233245258224839,0.3250409304282393,24
mimic-11site,CSRU-meta,0,1.6138888888888887,0,0.20952882918261287,1.4947015381443005,0.22068533667628756,24
mimic-11site,CSRU-meta,0,1.6138888888888887,1,1.056974635269827,0.8613249827838385,0.24423838419996793,24
mimic-11site,CSRU-meta,0,1.6138888888888887,2,1.1288604881684925,0.6356832863376924,0.24257442076751237,24
mimic-11site,CSRU-meta,0,1.6138888888888887,3,1.5666308819980053,0.3857750848076474,0.25049291415060987,24
mimic-11site,CSRU-meta,0,1.6138888888888887,4,1.7354447891313425,0.3336009953595613,0.2622770804348713,24
mimic-11site,CSRU-meta,1,1.6138888888888887,0,0.2385218123224804,1.1228660343459074,0.22592985684032466,24
mimic-11site,CSRU-meta,1,1.6138888888888887,1,0.6713529015244816,1.0431945758212322,0.2114654031729423,24
mimic-11site,CSRU-meta,1,1.6138888888888887,2,1.381370551914427,0.7546069152072313,0.2028980853642202,24
mimic-11site,CSRU-meta,1,1.6138888888888887,3,1.650767498095232,0.5050929615363355,0.21230051262098723,24
mimic-11site,CSRU-meta,1,1.6138888888888887,4,1.7774350799009933,0.40383416637577024,0.21811905024086883,24
mimic-11site,MICU-care,0,32.666666666666664,0,0.07325684514024484,0.35746188597794165,0.4299633768852474,24
mimic-11site,MICU-care,0,32.666666666666664,1,0.2670736835957315,0.38694152428148515,0.4174301109746072,24
mimic-11site,MICU-care,0,32.666666666666664,2,0.4769359752504777,0.31893277909064305,0.4092054603183444,24
mimic-11site,MICU-care,0,32.666666666666664,3,0.5786725408002316,0.22626026776723887,0.4083833776838843,24
mimic-11site,MICU-care,0,32.666666666666664,4,0.6608455170836042,0.1459914101524248,0.4083614467032435,24
mimic-11site,MICU-care,1,32.666666666666664,0,0.04473390555633734,0.48472994363597116,0.3916166624722617,24
